damage_qty,location,erosion,coat_protection,laminate_vis_dry_dam,crack/bonding,lightning/impact,surface/deflector,hole,other[1_2],num_desc,continuous,out_hue_mode,out_sat_mode,out_brt_mode,coverage,asp_ratio,deg_avg,deg_mode,edge,edgelen_avg,edgelen_mode,sc_edge_ratio,sc_follow_turn,sc_reverse_turn,sc_small_turn,hue_avg,hue_mode,hue_range,hue_uni,sat_avg,sat_mode,sat_range,sat_uni,brt_avg,brt_mode,brt_range,brt_uni,hue_outin,sat_outin,brt_outin,size,windtex
2,40.0,0,1,1,0,0,0,0,0,2,1,12,2,8,4,4,10,8,252,8,8,12,4,10,4,4,4,12,18,4,4,8,10,4,6,8,10,18,42,54,13.7425,0.3
4,35.0,0,1,1,0,0,0,0,0,2,0,12,4,6,7,5,10,11,71,8,8,14,4,9,1,12,12,6,8,4,3,7,9,5,5,5,7,2,15,41,4.6598,0.3
4,39.0,0,2,0,0,0,0,0,0,1,1,12,7,6,6,6,10,12,205,6,6,12,2,10,4,10,12,12,18,2,2,8,10,6,8,8,10,15,30,27,2492.9495,3.0
1,44.0,3,2,0,0,0,0,0,0,2,0,10,2,8,8,5,10,12,84,8,7,12,6,8,2,6,5,12,16,3,3,3,5,6,6,6,8,17,22,44,28.5279,0.5
5,39.0,0,0,2,0,0,0,0,0,1,0,8,3,7,6,4,10,11,90,8,7,13,6,8,4,10,12,9,12,4,3,6,8,4,5,6,8,7,22,57,12.8326,2.0
4,43.0,0,2,1,0,0,0,0,0,3,1,12,8,8,6,4,10,12,51,8,8,12,2,10,2,8,12,12,18,2,2,8,10,6,7,8,10,12,31,23,398.16049999999996,2.0
1,44.0,0,2,0,0,0,0,0,0,1,1,12,2,8,8,4,10,11,94,8,8,14,3,10,4,9,9,12,17,2,2,5,7,5,6,8,10,9,8,31,349.5333,2.0
1,37.5,0,1,1,0,0,0,0,0,2,1,2,2,8,6,4,10,12,202,8,6,14,4,10,2,6,6,12,18,2,2,4,6,8,8,6,8,14,4,8,9.3329,0.2
3,42.5,0,2,0,0,0,0,0,0,1,1,12,2,8,6,8,11,12,59,8,8,14,3,10,2,8,8,12,17,2,2,2,4,7,6,7,9,13,21,33,102.30680000000001,2.0
1,44.0,0,1,1,0,0,0,0,0,2,1,12,2,2,8,4,10,12,42,6,6,12,8,6,2,6,4,12,18,2,2,8,10,8,10,8,10,20,26,22,53.5912,0.2
2,33.6,0,1,1,0,0,0,0,0,2,0,12,2,8,6,4,10,12,218,8,8,14,4,10,4,8,4,12,18,2,2,2,4,6,6,8,10,10,8,48,581.7802,0.2
1,35.1,0,1,1,0,0,0,0,0,2,0,2,2,6,6,4,10,12,144,8,6,14,2,10,2,6,2,12,18,2,2,2,4,4,4,8,10,10,0,64,2.0942,0.2
3,42.0,3,2,0,0,0,0,0,0,2,1,12,2,7,8,7,10,12,94,6,7,12,4,9,2,9,9,12,17,2,2,5,7,6,7,8,10,8,21,23,594.3594,2.0
1,42.0,0,2,0,0,0,0,0,0,1,0,4,2,7,6,4,10,11,107,8,8,14,4,10,3,4,4,10,9,2,2,2,4,6,6,5,7,4,22,35,274.8983,1.0
5,42.0,0,2,0,0,0,0,0,0,1,1,5,2,6,8,5,10,9,67,8,8,12,7,6,3,4,4,9,12,2,2,4,6,6,6,7,9,17,21,25,691.8864,2.0
1,44.0,3,0,0,0,0,0,0,0,1,1,2,2,4,4,6,10,12,192,6,8,12,4,10,4,4,4,12,14,2,2,6,8,4,4,6,8,16,16,44,17.7652,0.2
5,42.5,0,2,0,0,0,0,0,0,1,1,10,2,8,7,4,10,11,62,7,7,12,7,7,3,5,4,11,14,2,2,3,5,7,7,7,9,23,26,26,641.5088000000001,3.0
1,44.0,0,1,1,0,0,0,0,0,2,1,12,2,3,6,4,10,12,82,7,6,13,4,9,2,8,8,12,18,2,2,5,7,4,4,4,6,13,12,33,5.2519,0.2
1,28.5,0,2,0,0,0,0,0,0,1,0,4,2,8,8,2,10,12,147,8,8,14,4,10,4,4,4,11,10,2,2,2,4,6,6,8,10,4,15,47,11.2988,1.0
5,40.0,0,2,0,0,0,0,0,0,1,1,8,2,7,7,5,10,11,136,8,8,13,5,9,2,4,4,12,18,2,2,5,7,6,6,7,9,19,23,33,678.6605,2.0
1,44.0,3,2,0,0,0,0,0,0,2,0,4,2,6,4,6,10,12,164,8,8,14,4,10,4,6,4,12,18,2,2,4,6,6,4,8,10,10,14,24,15.5947,0.2
1,33.0,0,1,1,0,0,0,0,0,2,0,10,2,6,7,5,10,11,38,8,8,14,9,5,2,10,10,6,5,2,2,1,3,5,5,6,8,8,0,30,1.5186000000000002,0.2
1,33.0,2,2,0,0,0,0,0,0,2,1,12,2,7,6,8,10,12,20,6,7,12,3,9,3,12,12,4,6,3,3,4,6,4,4,5,7,3,13,41,59.5919,0.2
1,39.0,0,2,0,0,0,0,0,0,1,0,12,2,6,8,4,10,12,49,8,8,13,3,9,4,11,12,11,8,2,2,0,2,4,4,4,6,10,0,29,12.2177,1.0
1,41.5,0,2,0,0,0,0,0,0,1,1,4,2,6,6,4,10,10,162,6,8,12,4,10,2,4,4,12,16,2,2,2,4,6,6,4,6,8,18,18,3.4691,1.0
1,42.0,0,2,1,0,0,0,0,0,3,0,2,2,6,8,4,10,12,148,8,8,14,2,10,2,8,4,12,18,2,2,2,4,6,6,8,10,10,12,32,22.0212,1.0
1,42.0,0,2,0,0,0,0,0,0,1,0,12,2,6,6,4,10,12,66,8,8,14,6,6,2,10,12,12,18,2,2,2,4,6,4,8,10,10,2,24,34.5496,1.0
1,44.0,2,2,0,0,0,0,0,0,2,0,12,2,4,6,4,10,12,68,8,8,12,4,8,2,10,12,12,16,2,2,2,4,4,4,8,10,2,10,32,6.7559,1.0
1,33.5,2,0,0,0,0,0,0,0,1,1,12,2,6,7,7,10,12,71,7,7,13,0,11,3,8,9,12,15,2,2,4,6,5,5,7,9,11,9,25,88.61420000000001,0.3
1,40.6,0,2,0,0,0,0,0,0,1,0,4,2,6,8,4,10,10,42,6,8,12,4,10,0,12,12,12,16,2,2,2,4,6,8,8,10,28,0,34,0.8208,1.0
1,42.1,0,2,0,0,0,0,0,0,1,1,4,2,8,8,4,10,12,82,6,6,12,5,10,4,6,4,12,18,2,2,4,6,4,4,8,10,9,20,54,56.5998,1.0
1,43.1,3,2,0,0,0,0,0,0,2,0,12,2,6,8,8,10,12,94,8,8,14,8,6,2,10,12,12,18,2,2,2,4,6,4,8,10,10,4,30,165.12,1.0
1,44.0,2,0,0,0,0,0,0,0,1,0,12,2,4,4,4,10,12,118,8,6,14,4,10,4,10,12,12,16,2,2,4,6,4,4,8,10,6,2,26,15.3978,0.3
1,30.5,2,0,0,0,0,0,0,0,1,0,12,2,6,6,4,10,10,70,8,8,14,6,8,2,12,12,1,3,4,4,5,7,6,6,6,8,3,16,26,24.441200000000002,0.3
